,rewards,discount,learning rate
554,-214.16529848511541,0.995,0.15
555,-27.278228808165466,0.995,0.15
556,-173.4132736559328,0.995,0.15
557,-135.68747290894348,0.995,0.15
558,-103.69420441766191,0.995,0.15
559,-152.8704292608793,0.995,0.15
560,-113.80812703346326,0.995,0.15
561,-170.04048890722655,0.995,0.15
562,-125.0923621439984,0.995,0.15
563,-81.57566198623559,0.995,0.15
564,-78.46822975817656,0.995,0.15
565,-299.7501215061973,0.995,0.15
566,-109.6776035108254,0.995,0.15
567,-339.98602013651947,0.995,0.15
568,-335.82204146547224,0.995,0.15
569,-117.91090698057006,0.995,0.15
570,-123.09835129528048,0.995,0.15
571,-73.19405102203311,0.995,0.15
572,-179.75784432742853,0.995,0.15
573,-33.77091306361744,0.995,0.15
574,-172.55654481657055,0.995,0.15
575,-439.12978843161636,0.995,0.15
576,-307.76523488179237,0.995,0.15
577,-173.97924837523658,0.995,0.15
578,-305.21414319789824,0.995,0.15
579,-117.29018875489587,0.995,0.15
580,-400.482276588852,0.995,0.15
581,-145.28842529996354,0.995,0.15
582,-368.07428459067273,0.995,0.15
583,-128.4896203833317,0.995,0.15
584,-144.95867614529803,0.995,0.15
585,-112.24654981138912,0.995,0.15
586,-68.55776970853572,0.995,0.15
587,-175.0364786681626,0.995,0.15
588,-201.0951112386979,0.995,0.15
589,-289.4448087452118,0.995,0.15
590,-87.93638730364394,0.995,0.15
591,-294.8514082755323,0.995,0.15
592,-336.6820270335992,0.995,0.15
593,-203.97246297928808,0.995,0.15
594,-108.00859498015973,0.995,0.15
595,-126.48208691267882,0.995,0.15
596,-145.4183513359871,0.995,0.15
597,-142.15067281803533,0.995,0.15
598,-335.9688545071342,0.995,0.15
599,-117.63177397119864,0.995,0.15
600,-131.62293915048105,0.995,0.15
601,-94.29285156625544,0.995,0.15
602,-427.1442679933991,0.995,0.15
603,-107.54417357019474,0.995,0.15
604,-87.51901458883172,0.995,0.15
605,-211.68701582247735,0.995,0.15
606,-103.18931144122017,0.995,0.15
607,-92.50919590118157,0.995,0.15
608,-159.67699881454564,0.995,0.15
609,-111.20458111851241,0.995,0.15
610,-51.425799270399985,0.995,0.15
611,-198.2091287883981,0.995,0.15
612,-121.96374285881328,0.995,0.15
613,-116.7061979257141,0.995,0.15
614,-126.95032716117876,0.995,0.15
615,-147.57158881069864,0.995,0.15
616,-104.47958788353378,0.995,0.15
617,-195.2602630051798,0.995,0.15
618,-99.93424572097813,0.995,0.15
619,-212.03691607178183,0.995,0.15
620,-80.10654693642594,0.995,0.15
621,-350.37694112008404,0.995,0.15
622,-81.62775871854454,0.995,0.15
623,-65.9934773980582,0.995,0.15
624,-294.7321176812992,0.995,0.15
625,-167.45715606414183,0.995,0.15
626,-196.68107701612763,0.995,0.15
627,-223.32640331959615,0.995,0.15
628,-251.11357224526284,0.995,0.15
629,-414.05549027376014,0.995,0.15
630,-48.42628670755029,0.995,0.15
631,-61.48877336561486,0.995,0.15
632,-99.6546019747576,0.995,0.15
633,-201.22255077806625,0.995,0.15
634,-339.86786618870303,0.995,0.15
635,-104.95388433030016,0.995,0.15
636,-279.19062464513763,0.995,0.15
637,-144.68885409319284,0.995,0.15
638,-171.0998337145292,0.995,0.15
639,-98.22292910635792,0.995,0.15
640,-212.18868196397057,0.995,0.15
641,-98.7820471002446,0.995,0.15
642,-218.90050680301874,0.995,0.15
643,-197.05424798530035,0.995,0.15
644,-239.7200100823255,0.995,0.15
645,-123.96329015892915,0.995,0.15
646,-118.49034202685928,0.995,0.15
647,-274.7106296162211,0.995,0.15
648,-58.69031455846105,0.995,0.15
649,-57.843006295195224,0.995,0.15
650,-74.4928847245553,0.995,0.15
651,-123.10435025696594,0.995,0.15
652,-69.8648086891886,0.995,0.15
653,-30.23221606114076,0.995,0.15
654,-152.7622411862485,0.995,0.15
655,-264.48299101267946,0.995,0.15
656,-102.22893539555463,0.995,0.15
657,-124.22943116855605,0.995,0.15
658,-328.60648990111633,0.995,0.15
659,-169.78734717255918,0.995,0.15
660,-114.19592887983997,0.995,0.15
661,-375.14061422739934,0.995,0.15
662,-112.00280624419122,0.995,0.15
663,-152.88658691418374,0.995,0.15
664,-112.42952103783615,0.995,0.15
665,-101.61636536230571,0.995,0.15
666,-149.2678606780077,0.995,0.15
667,-172.2833066356376,0.995,0.15
668,-395.9503139951913,0.995,0.15
669,-297.11945526291595,0.995,0.15
670,-374.39092099145523,0.995,0.15
671,-61.005805496064326,0.995,0.15
672,-395.51377345582245,0.995,0.15
673,-142.22717014341333,0.995,0.15
674,-107.75852384635499,0.995,0.15
675,29.33529635283685,0.995,0.15
676,-184.13883335418927,0.995,0.15
677,-120.57820707106045,0.995,0.15
678,-79.72575564575234,0.995,0.15
679,-161.3576567838122,0.995,0.15
680,-183.03621653811845,0.995,0.15
681,-166.43528275826662,0.995,0.15
682,-243.48048074828017,0.995,0.15
683,-375.16114552177083,0.995,0.15
684,-138.69918909776948,0.995,0.15
685,-159.82673918785744,0.995,0.15
686,-109.7806650183229,0.995,0.15
687,-111.87782003704703,0.995,0.15
688,-89.6514361097792,0.995,0.15
689,-264.86898969352217,0.995,0.15
690,-19.718533483583343,0.995,0.15
691,-90.36665493241684,0.995,0.15
692,-124.62979822746004,0.995,0.15
693,-220.09522310185946,0.995,0.15
694,-110.63696719238538,0.995,0.15
695,-307.4154076648782,0.995,0.15
696,-165.89920086893096,0.995,0.15
697,-142.61082658028806,0.995,0.15
698,-140.87163396059452,0.995,0.15
699,-99.86741836454642,0.995,0.15
700,-286.34671748012306,0.995,0.15
701,-72.58373717394329,0.995,0.15
702,-211.64464365024764,0.995,0.15
703,-234.90090605585516,0.995,0.15
704,-191.78857974666136,0.995,0.15
705,-65.77307266652997,0.995,0.15
706,-248.26509175521883,0.995,0.15
707,-138.01381861708484,0.995,0.15
708,-161.63728971377714,0.995,0.15
709,-137.03176238630417,0.995,0.15
710,-118.82006053214819,0.995,0.15
711,-441.03035240522763,0.995,0.15
712,-118.77455852500407,0.995,0.15
713,-261.30905195983394,0.995,0.15
714,-150.0387566978353,0.995,0.15
715,-98.96762698155807,0.995,0.15
716,-178.6260111830468,0.995,0.15
717,-106.80393892623222,0.995,0.15
718,-283.3323409796223,0.995,0.15
719,-107.4238065749682,0.995,0.15
720,-460.0791232747814,0.995,0.15
721,-272.148019962881,0.995,0.15
722,-114.77398209848089,0.995,0.15
723,-354.7408413693287,0.995,0.15
724,-106.62272481146334,0.995,0.15
725,-95.31309922322498,0.995,0.15
726,-242.4369105308959,0.995,0.15
727,-175.543298886525,0.995,0.15
728,-162.14890563512273,0.995,0.15
729,-91.93242535359491,0.995,0.15
730,-238.46625053119377,0.995,0.15
731,-227.17044764848458,0.995,0.15
732,-296.04394729756996,0.995,0.15
733,-220.65906794223466,0.995,0.15
